seller_id,week,total_orders,on_time_rate,avg_review_score,freight_pct_of_price
827f8f69dfa529c561901c4f2e0f332f,2017-01-09,1,100.0,5.0,38.2
9de4643a8dbde634fe55621059d92273,2017-01-09,1,100.0,5.0,3.73
a3a38f4affed601eb87a97788c949667,2017-01-09,2,100.0,5.0,16.33
b2ba3715d723d245138f291a6fe42594,2017-01-09,1,100.0,4.0,13.59
b76dba6c951ab00dc4edf0a1aa88037e,2017-01-09,4,100.0,4.5,131.17
c9a06ece156bb057372c68718ec8909b,2017-01-09,9,100.0,3.56,11.09
cca3071e3e9bb7d12640c9fbe2301306,2017-01-09,14,100.0,3.65,27.66
ccc4bbb5f32a6ab2b7066a4130f114e3,2017-01-09,1,100.0,2.0,6.97
d03698c2efd04a549382afa6623e27fb,2017-01-09,1,100.0,5.0,13.36
d66c305afaec317ebee552073a674429,2017-01-09,1,100.0,5.0,19.68
dbb9b48c841a0e39e21f98e1a6b2ec3e,2017-01-09,1,100.0,5.0,62.63
e2aee0892199b1d92530e371abd825bf,2017-01-09,3,66.67,2.33,41.56
fa1c13f2614d7b5c4749cbc52fecda94,2017-01-09,2,100.0,5.0,10.58
054694fa03fe82cec4b7551487331d74,2017-01-16,1,100.0,5.0,3.94
05ff92fedb5be47920fea08e501238b9,2017-01-16,1,100.0,3.0,4.53
066a6914e1ebf3ea95a216c73a986b91,2017-01-16,1,100.0,1.0,8.25
0725b8c0f3f906e58f70cbe76b7c748c,2017-01-16,2,100.0,5.0,16.64
0747d5bb69f0586cc869d8af4c50f93e,2017-01-16,1,100.0,5.0,40.97
0adac9fbd9a2b63cccaac4f8756c1ca8,2017-01-16,1,100.0,5.0,33.31
0c8380b62e38e8a1e6adbeba7eb9688c,2017-01-16,6,100.0,4.5,21.52
0ea22c1cfbdc755f86b9b54b39c16043,2017-01-16,3,100.0,4.5,30.63
1336efc61c316ddf92c899eb817f7cae,2017-01-16,1,100.0,5.0,14.34
1554a68530182680ad5c8b042c3ab563,2017-01-16,2,100.0,4.75,32.7
1771297ac436903d1dd6b0e9279aa505,2017-01-16,2,100.0,4.8,34.52
218d46b86c1881d022bce9c68a7d4b15,2017-01-16,1,100.0,5.0,10.53
2b1a40c1daabc6ca280c4b815c101841,2017-01-16,1,100.0,5.0,8.01
2be17df1c49978426251562096c3cc09,2017-01-16,1,100.0,5.0,9.04
3340ef1913fb70d28420f6ceb685c339,2017-01-16,1,100.0,5.0,10.0
3f8034bfc6b8b4135534975d49f04c63,2017-01-16,1,100.0,5.0,16.33
41b39e28db005d9731d9d485a83b4c38,2017-01-16,3,100.0,5.0,29.2
436bf27f2f18474fc6047702e9f8a866,2017-01-16,1,100.0,5.0,48.56
440dd6ab244315c632130ecfb63827b1,2017-01-16,1,100.0,5.0,17.25
46dc3b2cc0980fb8ec44634e21d2718e,2017-01-16,4,100.0,4.25,9.61
4a3ca9315b744ce9f8e9374361493884,2017-01-16,4,100.0,3.75,15.98
4d600e08ecbe08258c79e536c5a42fee,2017-01-16,1,100.0,5.0,7.16
4da0e408c99d2fdc2126dc9fce518060,2017-01-16,4,100.0,4.86,53.06
4e922959ae960d389249c378d1c939f5,2017-01-16,9,100.0,4.09,42.55
522620dcb18a6b31cd7bdf73665113a9,2017-01-16,1,100.0,5.0,2.9
54a1852d1b8f10312c55e906355666ee,2017-01-16,1,100.0,4.0,26.87
582d4f8675b945722eda7c0cb61ba4c7,2017-01-16,1,100.0,5.0,5.26
59fb871bf6f4522a87ba567b42dafecf,2017-01-16,5,100.0,4.4,9.58
5ab05b6d86d417796c69ffd6774ec832,2017-01-16,1,100.0,5.0,15.83
5cf13accae3222c70a9cac40818ae839,2017-01-16,1,100.0,4.0,25.8
5f1dc28029d2c244352a68107ec2b542,2017-01-16,2,100.0,4.0,55.21
5fd924b4836098a5be0ecf81ba054ce0,2017-01-16,1,100.0,4.0,12.01
62c50c1af4dfdc4149d25c5222043d39,2017-01-16,1,100.0,5.0,8.39
669ae81880e08f269a64487cfb287169,2017-01-16,1,100.0,4.0,48.42
6edacfd9f9074789dad6d62ba7950b9c,2017-01-16,4,100.0,4.75,35.01
6ee85be3693ed79a8e80718743d80655,2017-01-16,1,0.0,1.0,49.22
70a12e78e608ac31179aea7f8422044b,2017-01-16,3,100.0,3.67,31.57
725c32fa80c2faacc4fc88450d27314e,2017-01-16,3,66.67,5.0,28.68
76d5af76d0271110f9af36c92573f765,2017-01-16,2,100.0,5.0,43.85
7722b1df1b0e383e000397b2c11e3e19,2017-01-16,1,100.0,5.0,12.5
77530e9772f57a62c906e1c21538ab82,2017-01-16,3,100.0,5.0,23.76
80e6699fe29150b372a0c8a1ebf7dcc8,2017-01-16,3,100.0,4.67,22.96
817f85dbb65aa3e70831d90fe75cdf89,2017-01-16,1,100.0,5.0,21.77
822b63912576852aea9a8436d72317b7,2017-01-16,2,100.0,5.0,10.05
827f8f69dfa529c561901c4f2e0f332f,2017-01-16,1,100.0,5.0,40.43
82bd0703a4aefd6b599e5bfdaed378fb,2017-01-16,1,100.0,5.0,34.65
834f8533b2ecb6598dd004ff3de7203a,2017-01-16,2,100.0,4.0,42.84
8581055ce74af1daba164fdbd55a40de,2017-01-16,1,100.0,5.0,19.0
85d9eb9ddc5d00ca9336a2219c97bb13,2017-01-16,3,100.0,4.0,68.4
8a32e327fe2c1b3511609d81aaf9f042,2017-01-16,3,100.0,3.75,53.73
